release_no,fiscal_year_checkup,source_file,source_subdir,title_row_text,hba1c_item_label,hba1c_item_row,unit_row_content,explicit_ngsp,explicit_jds,explicit_percent,ambiguous_unit,notes
1,2013,各項目の平均値　都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：H25年度,HbA1C（NGSP）[％],8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,True,False,False,False,NGSP explicitly labeled in item name
2,2014,各項目の平均値　都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：H26年度,HbA1C（NGSP）[％],8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,True,False,False,False,NGSP explicitly labeled in item name
3,2015,各項目の平均値 都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：H27年度,HbA1c（NGSP）[％],8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,True,False,False,False,NGSP explicitly labeled in item name
4,2016,各項目の平均値 都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：H28年度,HbA1c（NGSP）[％],8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,True,False,False,False,NGSP explicitly labeled in item name
5,2017,各項目の平均値 都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：H29年度,HbA1c（NGSP）[％],8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,True,False,False,False,NGSP explicitly labeled in item name
6,2018,各項目の平均値 都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：H30年度,HbA1C,8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,False,False,False,True,HbA1C found but no explicit NGSP/JDS label; assumed NGSP per transition policy
7,2019,各項目の平均値 都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：2019年度,HbA1C,8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,False,False,False,True,HbA1C found but no explicit NGSP/JDS label; assumed NGSP per transition policy
8,2020,各項目の平均値 都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：2020年度,HbA1C,8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,False,False,False,True,HbA1C found but no explicit NGSP/JDS label; assumed NGSP per transition policy
9,2021,各項目の平均値 都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：2021年度,HbA1C,8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,False,False,False,True,HbA1C found but no explicit NGSP/JDS label; assumed NGSP per transition policy
10,2022,各項目の平均値 都道府県別性年齢階級別分布.xlsx,（※1）NDBの特定健診情報のうち、基本情報レコードと健診結果・問診結果情報レコードを集計したもの,特定健診 平均値：2022年度,HbA1C,8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,False,False,False,True,HbA1C found but no explicit NGSP/JDS label; assumed NGSP per transition policy
11,2023,各項目の平均値　都道府県別性年齢階級別分布.xlsx,01_公費レセプトを含まないデータ,特定健診 平均値：2023年度,HbA1C,8,平均 | 平均 | 平均 | 平均 | 平均 | 平均,False,False,False,True,HbA1C found but no explicit NGSP/JDS label; assumed NGSP per transition policy
